batter,yearID,velocity_bin,statcast_age_bat_velocity_sum,statcast_age_bat_velocity_count,velocity_pitch_count,release_speed_sum,release_speed_count,velocity_batted_ball_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,velocity_bin_label,statcast_age_bat_velocity,avg_pitch_speed_in_bin,velocity_avg_launch_speed,velocity_avg_launch_angle,velocity_hard_hit_rate,velocity_avg_estimated_woba,velocity_avg_estimated_slg
150029,2016,v_ge95,2331,63,63,6091.9,63,11,984.9,108.0,11,4,2.6206120000000004,11,2.458,7,95mph 이상,37.0,96.69682539682539,89.53636363636363,9.818181818181818,0.36363636363636365,0.23823745454545459,0.35114285714285715
150029,2017,v_lt85,3344,88,88,7158.900000000001,88,16,1361.8,159.0,16,4,4.609999999999999,22,5.95,13,85mph 미만,38.0,81.35113636363637,85.1125,9.9375,0.25,0.2095454545454545,0.45769230769230773
150029,2017,v_85_90,2166,57,57,4988.2,57,9,690.0,97.0,9,2,3.351994,12,4.183,5,85~90mph,38.0,87.51228070175438,76.66666666666667,10.777777777777779,0.2222222222222222,0.2793328333333333,0.8366
150029,2017,v_90_95,5852,154,154,14331.5,154,39,3332.2,878.0,39,13,16.468976,37,22.746000000000002,27,90~95mph,38.0,93.06168831168831,85.44102564102563,22.512820512820515,0.3333333333333333,0.4451074594594595,0.8424444444444446
150029,2017,v_ge95,1064,28,28,2675.1,28,8,643.0,183.0,8,0,0.5820000000000001,4,0.768,2,95mph 이상,38.0,95.53928571428571,80.375,22.875,0.0,0.14550000000000002,0.384
150212,2015,v_lt85,3096,86,86,6836.1,86,19,1609.2,222.0,19,6,5.929,24,8.344,12,85mph 미만,36.0,79.48953488372094,84.69473684210527,11.68421052631579,0.3157894736842105,0.2470416666666667,0.6953333333333332
150212,2015,v_85_90,3096,86,86,7540.900000000001,86,23,2010.5,250.0,23,6,4.009843,23,4.277,19,85~90mph,36.0,87.68488372093024,87.41304347826087,10.869565217391305,0.2608695652173913,0.174341,0.22510526315789475
150212,2015,v_90_95,4248,118,118,10893.1,118,24,1905.9999999999998,154.0,24,3,6.003686,24,5.688,18,90~95mph,36.0,92.31440677966101,79.41666666666666,6.416666666666667,0.125,0.2501535833333333,0.316
150212,2015,v_ge95,1692,47,47,4526.7,47,13,1126.4,203.0,13,5,4.2620000000000005,14,5.372999999999999,10,95mph 이상,36.0,96.3127659574468,86.64615384615385,15.615384615384615,0.38461538461538464,0.30442857142857144,0.5372999999999999
150229,2015,v_lt85,2652,68,68,5486.7,68,25,2113.1,194.0,25,5,7.39413,23,8.649000000000001,21,85mph 미만,39.0,80.68676470588235,84.524,7.76,0.2,0.32148391304347823,0.4118571428571429
150229,2015,v_85_90,2769,71,71,6221.6,71,24,2032.7000000000003,304.0,24,5,9.961,24,12.981,23,85~90mph,39.0,87.6281690140845,84.69583333333334,12.666666666666666,0.20833333333333334,0.4150416666666667,0.564391304347826
150229,2015,v_90_95,5070,130,130,12030.2,130,33,2854.6,465.0,33,10,10.680686,34,13.378,29,90~95mph,39.0,92.54,86.5030303030303,14.090909090909092,0.30303030303030304,0.3141378235294118,0.4613103448275862
150229,2015,v_ge95,1716,44,44,4285.8,44,8,672.7,-41.0,8,1,1.916843,9,1.492,6,95mph 이상,39.0,97.40454545454546,84.0875,-5.125,0.125,0.21298255555555556,0.24866666666666667
150229,2016,v_lt85,1800,45,45,3626.3,45,21,1798.0,38.0,21,7,5.757612,20,6.577999999999999,18,85mph 미만,40.0,80.58444444444444,85.61904761904762,1.8095238095238095,0.3333333333333333,0.2878806,0.3654444444444444
150229,2016,v_85_90,1720,43,43,3757.1,43,14,1124.7,122.0,14,4,2.109,7,3.058,7,85~90mph,40.0,87.37441860465115,80.33571428571429,8.714285714285714,0.2857142857142857,0.30128571428571427,0.43685714285714283
150229,2016,v_90_95,3560,89,89,8206.6,89,30,2522.7,313.0,30,9,6.114,25,8.003,22,90~95mph,40.0,92.20898876404495,84.08999999999999,10.433333333333334,0.3,0.24456,0.3637727272727273
150229,2016,v_ge95,1080,27,27,2598.0,27,10,832.3,142.0,10,2,1.943,10,2.31,7,95mph 이상,40.0,96.22222222222223,83.22999999999999,14.2,0.2,0.1943,0.33
150302,2015,v_90_95,185,5,5,460.4,5,2,152.1,29.0,2,0,0.951,2,1.112,2,90~95mph,37.0,92.08,76.05,14.5,0.0,0.4755,0.556
150359,2015,v_lt85,266,7,7,565.7,7,2,143.39999999999998,-39.0,2,0,0.10800000000000001,2,0.079,2,85mph 미만,38.0,80.81428571428572,71.69999999999999,-19.5,0.0,0.054000000000000006,0.0395
150359,2015,v_85_90,228,6,6,525.0,6,0,0.0,0.0,0,0,0.0,1,0.0,0,85~90mph,38.0,87.5,,,,0.0,
150359,2015,v_90_95,912,24,24,2222.8,24,5,436.6,59.0,5,3,2.258,5,3.924,4,90~95mph,38.0,92.61666666666667,87.32000000000001,11.8,0.6,0.4516,0.981
217100,2015,v_lt85,266,7,7,565.9,7,0,0.0,0.0,0,0,0.0,1,0.0,0,85mph 미만,38.0,80.84285714285714,,,,0.0,
217100,2015,v_85_90,152,4,4,351.7,4,1,101.3,3.0,1,1,0.548,1,0.648,1,85~90mph,38.0,87.925,101.3,3.0,1.0,0.548,0.648
217100,2015,v_90_95,798,21,21,1927.8,21,7,585.1,172.0,7,0,0.6679999999999999,8,0.76,6,90~95mph,38.0,91.8,83.58571428571429,24.571428571428573,0.0,0.08349999999999999,0.12666666666666668
217100,2015,v_ge95,266,7,7,677.1,7,2,176.3,40.0,2,0,0.17700000000000002,2,0.17900000000000002,2,95mph 이상,38.0,96.72857142857143,88.15,20.0,0.0,0.08850000000000001,0.08950000000000001
218596,2015,v_lt85,400,10,10,829.1,10,3,200.8,81.0,3,0,1.789,4,2.1049999999999995,3,85mph 미만,40.0,82.91,66.93333333333334,27.0,0.0,0.44725,0.7016666666666665
218596,2015,v_85_90,240,6,6,521.0,6,2,146.3,39.0,2,0,0.45799999999999996,2,0.616,2,85~90mph,40.0,86.83333333333333,73.15,19.5,0.0,0.22899999999999998,0.308
218596,2015,v_90_95,400,10,10,919.0,10,3,249.29999999999998,68.0,3,1,0.647,3,1.162,3,90~95mph,40.0,91.9,83.1,22.666666666666668,0.3333333333333333,0.21566666666666667,0.3873333333333333
218596,2015,v_ge95,280,7,7,684.5,7,1,80.0,69.0,1,0,0.0,1,0.0,1,95mph 이상,40.0,97.78571428571429,80.0,69.0,0.0,0.0,0.0
276519,2015,v_lt85,3848,104,104,8395.2,104,16,1295.4,164.0,16,2,2.965,15,3.9210000000000003,11,85mph 미만,37.0,80.72307692307693,80.9625,10.25,0.125,0.19766666666666666,0.35645454545454547
276519,2015,v_85_90,4292,116,116,10153.0,116,23,1829.1999999999998,372.0,23,3,5.2656860000000005,29,5.4639999999999995,20,85~90mph,37.0,87.52586206896552,79.5304347826087,16.17391304347826,0.13043478260869565,0.18157537931034484,0.2732
276519,2015,v_90_95,7881,213,213,19709.8,213,48,4179.2,591.0,48,12,15.479215,52,17.052,41,90~95mph,37.0,92.53427230046948,87.06666666666666,12.3125,0.25,0.29767721153846155,0.4159024390243902
276519,2015,v_ge95,2553,69,69,6666.5,69,25,2236.8,456.0,25,7,7.7866859999999996,26,9.054,22,95mph 이상,37.0,96.6159420289855,89.47200000000001,18.24,0.28,0.29948792307692307,0.41154545454545455
276519,2016,v_lt85,2584,68,68,5334.3,68,16,1261.3,74.0,16,2,2.715612,18,2.4370000000000003,13,85mph 미만,38.0,78.44558823529412,78.83125,4.625,0.125,0.15086733333333335,0.18746153846153848
276519,2016,v_85_90,2166,57,57,4987.900000000001,57,17,1341.1,448.0,17,1,4.1228359999999995,15,2.463,7,85~90mph,38.0,87.50701754385966,78.88823529411764,26.352941176470587,0.058823529411764705,0.2748557333333333,0.35185714285714287
276519,2016,v_90_95,3800,100,100,9329.1,100,23,1809.1999999999998,662.0,23,2,3.8362239999999996,16,3.813,12,90~95mph,38.0,93.291,78.66086956521738,28.782608695652176,0.08695652173913043,0.23976399999999998,0.31775000000000003
276519,2016,v_ge95,1596,42,42,4025.3,42,9,780.1,107.0,9,3,3.101224,10,2.5629999999999997,6,95mph 이상,38.0,95.8404761904762,86.67777777777778,11.88888888888889,0.3333333333333333,0.3101224,0.42716666666666664
276520,2017,v_lt85,200,5,5,365.5,5,0,0.0,0.0,0,0,0.0,2,0.0,0,85mph 미만,40.0,73.1,,,,0.0,
276520,2017,v_85_90,200,5,5,446.99999999999994,5,0,0.0,0.0,0,0,0.0,0,0.0,0,85~90mph,40.0,89.39999999999999,,,,,
276520,2017,v_90_95,520,13,13,1191.6,13,3,247.60000000000002,16.0,3,0,1.8039999999999998,4,2.168,3,90~95mph,40.0,91.66153846153846,82.53333333333335,5.333333333333333,0.0,0.45099999999999996,0.7226666666666667
276520,2017,v_ge95,40,1,1,96.4,1,1,80.0,69.0,1,0,0.0,1,0.0,1,95mph 이상,40.0,96.4,80.0,69.0,0.0,0.0,0.0
282332,2019,v_lt85,39,1,1,65.8,1,0,0.0,0.0,0,0,0.0,0,0.0,0,85mph 미만,39.0,65.8,,,,,
282332,2019,v_85_90,312,8,8,704.2,8,2,153.9,-43.0,2,0,0.0,1,0.0,0,85~90mph,39.0,88.025,76.95,-21.5,0.0,0.0,
282332,2019,v_90_95,39,1,1,90.2,1,0,0.0,0.0,0,0,0.0,1,0.0,0,90~95mph,39.0,90.2,,,,0.0,
285064,2015,v_lt85,418,11,11,890.4,11,2,158.3,12.0,2,1,0.619,3,0.742,2,85mph 미만,38.0,80.94545454545454,79.15,6.0,0.5,0.20633333333333334,0.371
285064,2015,v_85_90,342,9,9,791.5,9,0,0.0,0.0,0,0,0.0,2,0.0,0,85~90mph,38.0,87.94444444444444,,,,0.0,
