age,velocity_bin,velocity_bin_label,player_seasons,unique_players,total_velocity_pitch_count,total_velocity_batted_ball_count,release_speed_sum,release_speed_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,avg_OPS,avg_pitch_speed_in_bin,avg_velocity_launch_speed,avg_velocity_launch_angle,velocity_hard_hit_rate,avg_velocity_estimated_woba,avg_velocity_estimated_slg
35.0,v_85_90,85~90mph,108,108,10235.0,2850.0,895319.4,10235.0,237230.0,33854.0,2852.0,764.0,790.2962957877928,2555.0,906.01,1737.0,0.7235189388682732,87.4762481680508,83.23859649122807,11.870266479663394,0.2680701754385965,0.3093136187036371,0.5215947035118019
35.0,v_90_95,90~95mph,113,113,15908.0,4958.0,1472325.2,15908.0,419729.7,93453.0,4960.0,1376.0,1441.410555215182,4084.0,1603.702,2922.0,0.7199603079314351,92.5525018858436,84.65705929810407,18.84133064516129,0.27753126260588945,0.35294088031713566,0.5488370978781656
35.0,v_ge95,95mph 이상,106,106,6625.0,2206.0,640131.5,6625.0,184851.8,45123.0,2206.0,502.0,584.4363702378816,1743.0,604.74,1148.0,0.7253854100089319,96.62362264150943,83.7950135992747,20.454669084315505,0.22756119673617406,0.3353048595742293,0.5267770034843205
36.0,v_lt85,85mph 미만,71,71,7076.0,1825.0,571231.1,7076.0,151435.1,22520.0,1826.0,488.0,510.3221260006632,1685.0,620.622,1145.0,0.6999583211194204,80.72796777840587,82.97813698630138,12.332968236582694,0.2673972602739726,0.3028617958460909,0.5420279475982532
36.0,v_85_90,85~90mph,69,69,6242.0,1701.0,546119.2,6242.0,141344.5,21012.0,1701.0,453.0,472.96752197083504,1562.0,550.68,1051.0,0.703769435495888,87.4910605575136,83.0949441504997,12.352733686067019,0.26631393298059963,0.3027961088161556,0.5239581351094196
36.0,v_90_95,90~95mph,70,70,8987.0,2849.0,831790.5,8987.0,243280.6,54610.0,2850.0,818.0,863.0680590613619,2356.0,1003.394,1711.0,0.7020374395545667,92.55485701568932,85.39157599157599,19.16140350877193,0.28711828711828713,0.3663276990922589,0.586437171244886
36.0,v_ge95,95mph 이상,68,68,3738.0,1235.0,360964.9,3738.0,105184.3,27100.0,1238.0,335.0,326.0082061029961,984.0,368.776,631.0,0.7012379838298343,96.56631888710541,85.16947368421053,21.890145395799678,0.27125506072874495,0.3313091525436952,0.5844310618066562
37.0,v_lt85,85mph 미만,40,40,4539.0,1141.0,366381.3,4539.0,93894.9,13537.0,1141.0,264.0,295.79778265919214,1076.0,355.901,719.0,0.726206666316471,80.71850627891605,82.2917616126205,11.864154250657318,0.23137598597721298,0.2749050024713682,0.4949944367176634
37.0,v_85_90,85~90mph,40,40,4163.0,1136.0,364209.3,4163.0,95152.2,14095.0,1136.0,312.0,333.72707483435266,1055.0,393.234,707.0,0.726206666316471,87.48722075426375,83.76073943661972,12.407570422535212,0.2746478873239437,0.3163289808856423,0.5562008486562942
37.0,v_90_95,90~95mph,41,41,6164.0,1923.0,570672.3,6164.0,163292.3,39558.0,1926.0,547.0,543.004944421979,1516.0,610.106,1078.0,0.7248567226938661,92.5814892926671,84.91539261570462,20.538940809968846,0.2844513780551222,0.3581826810171365,0.565961038961039
37.0,v_ge95,95mph 이상,40,40,2718.0,888.0,262577.0,2718.0,75275.90000000001,19703.0,888.0,226.0,221.3655748887541,715.0,244.499,469.0,0.726206666316471,96.60669610007358,84.77015765765766,22.188063063063062,0.2545045045045045,0.30960220264161414,0.521319829424307
38.0,v_lt85,85mph 미만,31,31,3237.0,777.0,261418.3,3237.0,63300.0,8888.0,777.0,186.0,207.58363020442198,733.0,222.802,455.0,0.6925319477368604,80.75943775100401,81.46718146718146,11.438867438867439,0.23938223938223938,0.283197312693618,0.4896747252747253
38.0,v_85_90,85~90mph,31,31,2959.0,856.0,258783.5,2959.0,71192.0,11956.0,857.0,216.0,229.47768987642738,766.0,260.279,517.0,0.687813850759786,87.45640419060493,83.16822429906541,13.950991831971995,0.2523364485981308,0.2995792296036911,0.5034410058027079
38.0,v_90_95,90~95mph,32,32,4444.0,1442.0,411475.8,4444.0,122257.2,32959.0,1442.0,407.0,412.6376357951164,1148.0,470.82,834.0,0.6870852929235427,92.59131413141314,84.78307905686546,22.856449375866852,0.28224687933425796,0.3594404492988819,0.5645323741007194
38.0,v_ge95,95mph 이상,30,30,1767.0,571.0,170700.4,1767.0,48144.5,12754.0,571.0,150.0,138.21639694944156,447.0,155.938,279.0,0.6883647164921829,96.60464063384266,84.31611208406305,22.336252189141856,0.2626970227670753,0.3092089417213458,0.5589175627240143
39.0,v_lt85,85mph 미만,15,15,1428.0,380.0,115119.7,1428.0,31494.6,5670.0,380.0,96.0,100.86394225191768,335.0,127.391,232.0,0.7368836420266587,80.61603641456583,82.88052631578947,14.921052631578947,0.25263157894736843,0.3010863947818438,0.5490991379310345
39.0,v_85_90,85~90mph,15,15,1192.0,380.0,104289.3,1192.0,31558.3,5313.0,380.0,108.0,93.92645889618356,315.0,121.654,233.0,0.7368836420266587,87.49102348993289,83.04815789473685,13.98157894736842,0.28421052631578947,0.29817923459105894,0.5221201716738197
39.0,v_90_95,90~95mph,15,15,1869.0,666.0,173017.0,1869.0,56006.2,15536.0,666.0,166.0,174.4913346153558,489.0,198.831,363.0,0.7368836420266587,92.57196361690744,84.09339339339338,23.32732732732733,0.24924924924924924,0.35683299512342703,0.5477438016528925
39.0,v_ge95,95mph 이상,14,14,796.0,297.0,76873.2,796.0,24713.8,7759.0,297.0,56.0,69.12378085714286,222.0,79.782,152.0,0.7339642372862547,96.57437185929648,83.21144781144781,26.124579124579125,0.18855218855218855,0.31136838223938224,0.5248815789473684
40.0,v_lt85,85mph 미만,9,9,1072.0,287.0,86060.8,1072.0,23885.1,3122.0,287.0,68.0,76.92353022450193,259.0,88.06700000000001,172.0,0.7185476244230067,80.28059701492538,83.22334494773519,10.878048780487806,0.23693379790940766,0.29700204719884915,0.5120174418604652
40.0,v_85_90,85~90mph,11,11,1004.0,284.0,87806.3,1004.0,23787.8,4343.0,284.0,76.0,79.00706243521499,256.0,103.809,185.0,0.677210164591314,87.45647410358566,83.75985915492957,15.29225352112676,0.2676056338028169,0.30862133763755856,0.5611297297297297
40.0,v_90_95,90~95mph,11,11,1654.0,505.0,153087.4,1654.0,43366.4,9738.0,505.0,143.0,152.10086986661986,426.0,181.582,311.0,0.677210164591314,92.5558645707376,85.8740594059406,19.283168316831684,0.28316831683168314,0.357044295461549,0.5838649517684887
40.0,v_ge95,95mph 이상,11,11,767.0,246.0,74043.0,767.0,20738.600000000002,5343.0,246.0,60.0,68.77593377258202,192.0,77.656,135.0,0.677210164591314,96.53585397653194,84.30325203252033,21.71951219512195,0.24390243902439024,0.3582079883988647,0.5752296296296296
41.0,v_lt85,85mph 미만,4,4,440.0,106.0,35431.9,440.0,8938.8,825.0,106.0,35.0,37.30532578571429,108.0,41.751,70.0,0.7917911820447083,80.52704545454546,84.32830188679245,7.783018867924528,0.330188679245283,0.3454196832010582,0.5964428571428572
41.0,v_85_90,85~90mph,4,4,413.0,130.0,36154.9,413.0,11197.699999999999,1091.0,130.0,44.0,43.46270686181931,104.0,55.714,80.0,0.7917911820447083,87.54213075060532,86.13615384615383,8.392307692307693,0.3384615384615385,0.4179106429021088,0.696425
41.0,v_90_95,90~95mph,4,4,525.0,171.0,48651.2,525.0,15107.5,3206.0,171.0,63.0,56.864585789079136,126.0,86.232,97.0,0.7917911820447083,92.66895238095238,88.34795321637426,18.748538011695906,0.3684210526315789,0.451306236421263,0.8889896907216495
41.0,v_ge95,95mph 이상,4,4,223.0,81.0,21526.5,223.0,7240.200000000001,1907.0,81.0,30.0,24.779802097560975,60.0,36.222,46.0,0.7917911820447083,96.53139013452915,89.3851851851852,23.54320987654321,0.37037037037037035,0.41299670162601626,0.7874347826086957
42.0,v_lt85,85mph 미만,3,3,314.0,90.0,25344.8,314.0,7510.900000000001,752.0,90.0,24.0,21.382183666666666,70.0,25.34,52.0,0.7021377492217242,80.71592356687898,83.45444444444445,8.355555555555556,0.26666666666666666,0.3054597666666667,0.48730769230769233
42.0,v_85_90,85~90mph,3,3,235.0,74.0,20539.300000000003,235.0,6089.799999999999,613.0,74.0,23.0,24.572230012403793,62.0,33.159,46.0,0.7021377492217242,87.40127659574469,82.29459459459459,8.283783783783784,0.3108108108108108,0.39632629052264184,0.7208478260869565
42.0,v_90_95,90~95mph,3,3,424.0,135.0,39368.8,424.0,11825.9,1273.0,135.0,51.0,47.21874259039702,122.0,54.383,84.0,0.7021377492217242,92.85094339622643,87.59925925925926,9.42962962962963,0.37777777777777777,0.38703887369177886,0.6474166666666668
42.0,v_ge95,95mph 이상,3,3,174.0,77.0,16817.6,174.0,6643.2,1065.0,77.0,20.0,14.818048,52.0,17.339,43.0,0.7021377492217242,96.65287356321838,86.27532467532467,13.831168831168831,0.2597402597402597,0.2849624615384615,0.40323255813953485
43.0,v_lt85,85mph 미만,2,2,94.0,29.0,7536.299999999999,94.0,2285.6,325.0,29.0,3.0,5.549999999999999,25.0,7.112,17.0,0.705617042327662,80.17340425531914,78.81379310344828,11.206896551724139,0.10344827586206896,0.22199999999999995,0.4183529411764706
43.0,v_85_90,85~90mph,2,2,108.0,37.0,9454.3,108.0,2926.7,522.0,37.0,5.0,4.178,29.0,5.774000000000001,23.0,0.705617042327662,87.5398148148148,79.1,14.108108108108109,0.13513513513513514,0.14406896551724138,0.2510434782608696
43.0,v_90_95,90~95mph,2,2,152.0,40.0,14027.600000000002,152.0,3389.8,662.0,40.0,10.0,13.023328352092351,34.0,15.744,28.0,0.705617042327662,92.28684210526318,84.745,16.55,0.25,0.3830390691791868,0.5622857142857143
43.0,v_ge95,95mph 이상,2,2,51.0,15.0,4923.4,51.0,1306.0,76.0,15.0,6.0,3.2979089999999998,13.0,3.1929999999999996,9.0,0.705617042327662,96.53725490196078,87.06666666666666,5.066666666666666,0.4,0.2536853076923077,0.35477777777777775
44.0,v_lt85,85mph 미만,1,1,35.0,9.0,2837.5,35.0,705.5999999999999,-18.0,9.0,1.0,1.863,8.0,2.343,7.0,0.6493896624070188,81.07142857142857,78.39999999999999,-2.0,0.1111111111111111,0.232875,0.3347142857142857
44.0,v_85_90,85~90mph,1,1,35.0,11.0,3072.2,35.0,837.0,268.0,11.0,0.0,2.680994,8.0,2.492,7.0,0.6493896624070188,87.77714285714285,76.0909090909091,24.363636363636363,0.0,0.33512425,0.356
44.0,v_90_95,90~95mph,1,1,112.0,32.0,10392.6,112.0,2626.2,162.0,32.0,6.0,8.031988,25.0,8.152000000000001,21.0,0.6493896624070188,92.79107142857143,82.06875,5.0625,0.1875,0.32127952,0.38819047619047625
