batter,yearID,age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
425794,2015,34.0,2,79.55,20.5,0.0,0.016999999999999998,0.0285
425794,2016,210.0,9,84.12222222222222,20.88888888888889,0.3333333333333333,0.25230769230769234,0.6435
425794,2017,180.0,5,79.82000000000001,-1.2,0.2,0.22562500000000002,0.5567500000000001
425794,2019,228.0,11,82.2909090909091,16.818181818181817,0.09090909090909091,0.1390226923076923,0.21316666666666664
425794,2021,240.0,27,64.8,3.259259259259259,0.037037037037037035,0.15036363636363637,0.33
425796,2015,186.0,75,87.40666666666667,17.893333333333334,0.3333333333333333,0.2753037974683544,0.49613114754098364
425796,2016,192.0,73,84.52191780821919,8.657534246575343,0.273972602739726,0.2801598904109589,0.47613333333333335
425834,2015,124.0,38,87.46315789473684,12.894736842105264,0.39473684210526316,0.29669946153846155,0.59296875
425834,2016,192.0,111,84.03063063063063,17.936936936936938,0.3153153153153153,0.27549024615384615,0.5451643835616438
425844,2015,160.0,13,91.76153846153846,7.538461538461538,0.6153846153846154,0.41016723529411764,0.7953333333333333
425844,2016,165.0,6,78.43333333333332,28.333333333333332,0.0,0.05088888888888889,0.11683333333333334
425844,2017,204.0,19,81.66842105263159,4.052631578947368,0.21052631578947367,0.23115405882352943,0.3032142857142857
425844,2018,210.0,20,83.33,13.15,0.3,0.36823533333333336,0.5511538461538461
425844,2019,180.0,16,78.85,32.8125,0.1875,0.30892857142857144,0.94575
425877,2015,198.0,114,86.73070175438596,12.552631578947368,0.21052631578947367,0.29876086991869916,0.40434375
425877,2016,204.0,176,83.35681818181818,10.414772727272727,0.19886363636363635,0.32467790714285716,0.4162142857142857
425877,2017,210.0,165,84.19333333333333,19.266666666666666,0.2727272727272727,0.3632412158273381,0.6071770833333333
425877,2018,216.0,204,82.8421568627451,22.0,0.1715686274509804,0.3184617045454546,0.48720388349514565
425877,2019,222.0,110,83.41909090909091,17.60909090909091,0.22727272727272727,0.3023161919191919,0.43897142857142857
425877,2021,195.0,141,80.75390070921985,21.29787234042553,0.14893617021276595,0.3068726146462851,0.46121126760563386
425877,2022,200.0,100,81.38,17.87,0.17,0.2792936111111112,0.4179322033898305
425900,2015,155.0,42,85.53095238095237,14.476190476190476,0.21428571428571427,0.2949173571428571,0.44542424242424244
425900,2016,192.0,106,80.77924528301887,21.235849056603772,0.20754716981132076,0.22206004545454547,0.333758064516129
425902,2015,186.0,128,89.34140625,9.34375,0.3828125,0.34279805298013244,0.5031428571428572
425902,2016,128.0,98,82.78979591836735,18.591836734693878,0.2755102040816326,0.30945045192307685,0.5171666666666666
429400,2015,31.0,1,82.9,-21.0,0.0,0.076,0.086
429664,2015,198.0,139,91.02589928057554,7.359712230215828,0.460431654676259,0.3582821523178808,0.5832016806722689
429664,2016,204.0,186,87.2725806451613,13.005376344086022,0.3602150537634409,0.35501590476190475,0.6308120300751879
429664,2017,210.0,191,85.72094240837697,14.884816753926701,0.3089005235602094,0.37038163461538465,0.5475371900826447
429664,2018,144.0,90,88.37222222222222,16.88888888888889,0.34444444444444444,0.43592113924050635,0.6896885245901639
429664,2019,185.0,124,85.80000000000001,9.701612903225806,0.29838709677419356,0.2749337857142857,0.4824605263157895
429664,2022,80.0,32,82.009375,11.0625,0.3125,0.29163742028985506,0.42894444444444446
429665,2015,192.0,112,89.72857142857143,16.267857142857142,0.4375,0.3717045590551181,0.6508452380952381
429665,2016,198.0,188,86.39042553191489,22.414893617021278,0.2872340425531915,0.35294304022988504,0.59284375
429665,2017,204.0,154,81.58506493506493,13.902597402597403,0.2662337662337662,0.36924457894736845,0.7089545454545454
429665,2018,245.0,166,85.52650602409638,18.64457831325301,0.3072289156626506,0.4023706927710843,0.7264732142857142
429665,2019,216.0,118,86.2542372881356,19.5,0.3389830508474576,0.36796606363636364,0.7260144927536232
429666,2015,165.0,99,85.48181818181818,10.555555555555555,0.2828282828282828,0.22092594174757282,0.3555890410958904
429666,2016,136.0,97,86.95360824742268,21.072164948453608,0.30927835051546393,0.3325334,0.5053934426229508
429666,2017,105.0,56,83.3125,11.303571428571429,0.25,0.2120481935483871,0.3403555555555555
429667,2015,216.0,107,90.41028037383177,15.336448598130842,0.42990654205607476,0.3881552809917355,0.8227926829268294
429667,2016,222.0,73,88.03013698630137,13.95890410958904,0.410958904109589,0.3905806,0.9379411764705883
429711,2015,96.0,27,88.32592592592593,8.222222222222221,0.37037037037037035,0.38349439285714293,0.7528095238095238
429711,2016,198.0,72,88.07361111111112,14.930555555555555,0.3472222222222222,0.367307,0.7320476190476191
