playerID,nameFirst,nameLast,yearID,age,G,AB,H,2B,3B,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,bats,throws,prev_year,next_year,prev_OPS,next_OPS,prev_OBP,next_OBP,prev_SLG,next_SLG,delta_OPS,delta_OBP,delta_SLG,statcast_age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
turneju01,Justin,Turner,2017,33.0,130,457,147,32,0,21,71.0,7.0,59,56.0,0.3216630196936542,0.4151291512915129,0.5295404814004376,0.9446696326919506,R,R,2016.0,2018.0,0.8320340512156191,0.9239115055630588,0.3392282958199357,0.4061032863849765,0.4928057553956834,0.5178082191780822,0.1126355814763314,0.0759008554715772,0.0367347260047541,165.0,147.0,82.37074829931973,22.482993197278912,0.2244897959183673,0.3680972162162161,0.6409078947368422
turneju01,Justin,Turner,2018,34.0,103,365,114,31,1,14,52.0,2.0,47,54.0,0.3123287671232876,0.4061032863849765,0.5178082191780822,0.9239115055630588,R,R,2017.0,2019.0,0.9446696326919506,0.8809792714786042,0.4151291512915129,0.3715846994535519,0.5295404814004376,0.5093945720250522,-0.0207581271288919,-0.0090258649065363,-0.0117322622223554,170.0,113.0,84.68672566371681,19.787610619469028,0.247787610619469,0.4021745652173912,0.6136666666666667
turneju01,Justin,Turner,2021,37.0,151,533,148,22,0,27,87.0,3.0,61,98.0,0.2776735459662289,0.3611111111111111,0.4709193245778612,0.8320304356889723,R,R,2019.0,2022.0,,0.787658248184564,,0.3496240601503759,,0.438034188034188,,,,222.0,208.0,83.39759615384615,20.0,0.2307692307692307,0.3755659084802947,0.6272079207920792
turneju01,Justin,Turner,2022,38.0,128,468,130,36,0,13,81.0,3.0,50,89.0,0.2777777777777778,0.3496240601503759,0.438034188034188,0.787658248184564,R,R,2021.0,2023.0,0.8320304356889723,0.8002450559391712,0.3611111111111111,0.3450479233226837,0.4709193245778612,0.4551971326164875,-0.0443721875044083,-0.0114870509607351,-0.0328851365436731,228.0,218.0,82.87798165137616,21.59633027522936,0.2339449541284403,0.3430563072128632,0.598757281553398
turneju01,Justin,Turner,2023,39.0,146,558,154,31,0,23,96.0,4.0,51,110.0,0.2759856630824372,0.3450479233226837,0.4551971326164875,0.8002450559391712,R,R,2022.0,2024.0,0.787658248184564,0.7369686214406712,0.3496240601503759,0.3543599257884972,0.438034188034188,0.3826086956521739,0.0125868077546071,-0.0045761368276922,0.0171629445822994,273.0,256.0,82.80625,21.3828125,0.2265625,0.3475608981931195,0.5306120689655173
turnetr01,Trea,Turner,2023,30.0,155,639,170,35,5,26,76.0,30.0,45,150.0,0.2660406885758998,0.3198263386396526,0.458528951486698,0.7783552901263506,R,R,,2024.0,,0.8069692683554069,,0.3376623376623376,,0.4693069306930693,,,,210.0,246.0,84.35853658536585,20.157894736842103,0.2926829268292683,0.333738678777794,0.6626341463414634
uptonbj01,B. J.,Upton,2015,31.0,87,205,53,12,4,5,17.0,9.0,21,62.0,0.2585365853658536,0.3274336283185841,0.4292682926829268,0.7567019210015109,R,R,,2016.0,,0.6929418176863333,,0.2905027932960894,,0.4024390243902439,,,,124.0,38.0,87.46315789473684,12.894736842105264,0.3947368421052631,0.2966994615384615,0.59296875
uptonju01,Justin,Upton,2017,30.0,152,557,152,44,0,35,109.0,14.0,74,180.0,0.2728904847396768,0.3606299212598425,0.5403949730700179,0.9010248943298604,R,R,,2018.0,,0.8076234432817412,,0.3442088091353997,,0.4634146341463415,,,,180.0,141.0,82.36170212765957,22.127659574468087,0.2411347517730496,0.3657043284671533,0.7156410256410256
uptonju01,Justin,Upton,2018,31.0,145,533,137,18,1,30,85.0,8.0,64,176.0,0.2570356472795497,0.3442088091353997,0.4634146341463415,0.8076234432817412,R,R,2017.0,2019.0,0.9010248943298604,0.7241188641552512,0.3606299212598425,0.30859375,0.5403949730700179,0.4155251141552511,-0.0934014510481192,-0.0164211121244428,-0.0769803389236764,217.0,158.0,84.14873417721519,16.753164556962027,0.3291139240506329,0.3183995253164557,0.5805
uribeju01,Juan,Uribe,2015,36.0,119,360,91,17,0,14,43.0,2.0,34,80.0,0.2527777777777777,0.3198992443324937,0.4166666666666667,0.7365659109991605,R,R,,2016.0,,0.5906200317965024,,0.2586872586872586,,0.3319327731092437,,,,216.0,97.0,86.0020618556701,12.02061855670103,0.2783505154639175,0.2690418348623853,0.4012597402597402
